reg_no,batch_code,p1s1,p2s1,p3s1,ts1,as1,gs1,p1s2,p2s2,ts2,as2,gs2,p1s3,p2s3,ts3,as3,gs3,tot,avg,grade,centre,pre_reg_no,session,certi_no,certi_date,trans_no,trans_date,USER,EXAM_APPEAR,Remarks
YS-N24/53-5300067/2017,25,,51.0,28.0,,,,,,,,,,,,,,,,B+,N24,,53,WB1002098000,19/04/2018,,,PROMITA,,PASS
YS-N24/53-5100268/2017,35,,,,,,,52.0,22.0,,,,,,,,,,,B+,N24,YS-N24/51-5100268/2017,53,WB1002116776,04/05/2018,,,,,PASS
YS-N24/53-5100267/2017,35,,,,,,,49.0,26.0,,,,,,,,,,,B+,N24,YS-N24/51-5100267/2017,53,WB1002110334,04/05/2018,,,,,PASS
YS-N24/53-5100596/2017,35,,,,,,,62.0,28.0,,,,,,,,,,,A+,N24,YS-N24/51-5100596/2017,53,WB1002106426,25/04/2018,,,,,PASS
YS-N24/53-5100608/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100608/2017,53,,,,,,,PASS
YS-N24/53-5100553/2017,35,,,,,,,55.0,25.0,,,,,,,,,,,A,N24,YS-N24/51-5100553/2017,53,WB1002105506,28/05/2018,,,,,PASS
YS-N24/53-5100331/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100331/2017,53,,,,,,,PASS
YS-N24/53-5100594/2017,35,,,,,,,58.0,27.0,,,,,,,,,,,A,N24,YS-N24/51-5100594/2017,53,WB1002106318,18/04/2018,,,,,PASS
YS-N24/53-5100604/2017,35,,,,,,,68.0,27.0,,,,,,,,,,,A+,N24,YS-N24/51-5100604/2017,53,WB1002106174,16/04/2018,,,,,PASS
YS-N24/53-5300019/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,saheli,,PASS
YS-N24/53-5100143/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100143/2017,53,,,,,,,PASS
YS-N24/53-5100392/2017,35,,,,,,,70.0,25.0,,,,,,,,,,,A+,N24,YS-N24/51-5100392/2017,53,WB1002106370,13/04/2018,,,,,PASS
YS-N24/53-5100391/2017,35,,,,,,,56.0,22.0,,,,,,,,,,,B+,N24,YS-N24/51-5100391/2017,53,WB1002116546,23/03/2018,,,,,PASS
YS-N24/53-5100422/2017,35,,,,,,,57.0,29.0,,,,,,,,,,,A,N24,YS-N24/51-5100422/2017,53,WB1002109774,17/04/2018,,,,,PASS
YS-N24/53-5100382/2017,35,,,,,,,53.0,24.0,,,,,,,,,,,B+,N24,YS-N24/51-5100382/2017,53,WB1002109764,11/04/2018,,,,,PASS
YS-N24/53-5100384/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100384/2017,53,,,,,,,PASS
YS-N24/53-5300020/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5300021/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-3300104/2017,35,,,,,,,56.0,24.0,,,,,,,,,,,A,N24,YS-N24/33-3300104/2012,53,WB1002116304,27/03/2018,,,,,PASS
YS-N24/53-5300068/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5100038/2017,35,,,,,,,54.0,25.0,,,,,,,,,,,B+,N24,YS-N24/51-5100038/2017,53,WB1002117560,26/04/2018,,,,,PASS
YS-N24/53-5300069/2017,23,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5300070/2017,23,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-4900048/2017,45,,,,,,,,,,,,60.0,27.0,,,,,,A,N24,YS-N24/51-4900048/2017,53,WB1002093004,13/02/2019,,,,,PASS
YS-N24/53-2800279/2017,45,,,,,,,,,,,,47.0,25.0,,,,,,B+,N24,YS-N24/51-2800279/2017,53,WB1002098778,13/04/2018,,,,,PASS
YS-N24/53-4900004/2017,45,,,,,,,,,,,,59.0,26.0,,,,,,A,N24,YS-N24/51-4900004/2017,53,WB1002092960,,,,,,PASS
YS-N24/53-3600446/2017,35,,,,,,,49.0,20.0,,,,,,,,,,,B,N24,YS-N24/36-3600446/2013,53,WB1002116934,,,,,,PASS
YS-N24/53-5300071/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5300072/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5300073/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5100506/2017,35,,,,,,,53.0,25.0,,,,,,,,,,,B+,N24,YS-N24/51-5100506/2017,53,WB1002116804,24/03/2018,,,,,PASS
YS-N24/53-5300074/2017,23,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5300075/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,saheli,,PASS
YS-N24/53-5100398/2017,35,,,,,,,54.0,23.0,,,,,,,,,,,B+,N24,YS-N24/51-5100398/2017,53,WB1002117730,10/05/2018,,,,,PASS
YS-N24/53-5100544/2017,33,,,,,,,53.0,28.0,,,,,,,,,,,A,N24,YS-N24/51-5100544/2017,53,WB1002097032,18/05/2018,,,,,PASS
YS-N24/53-5300076/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,saheli,,PASS
YS-N24/53-5300077/2017,23,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,saheli,,PASS
YS-N24/53-5300078/2017,25,,42.0,24.0,,,,,,,,,,,,,,,,B,N24,,53,WB1002098774,23/04/2018,,,saheli,,PASS
YS-N24/53-5300079/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5300080/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5300081/2017,25,,44.0,24.0,,,,,,,,,,,,,,,,B,N24,,53,WB1002097874,18/04/2018,,,PROMITA,,PASS
YS-N24/53-5300082/2017,25,,45.0,22.0,,,,,,,,,,,,,,,,B,N24,,53,WB1002097890,18/04/2018,,,PROMITA,,PASS
YS-N24/53-5300083/2017,22,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,saheli,,PASS
YS-N24/53-5300084/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,saheli,,PASS
YS-N24/53-5300085/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5300086/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5100208/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100208/2017,53,,,,,,,PASS
YS-N24/53-5100365/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100365/2017,53,,,,,,,PASS
YS-N24/53-5100554/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100554/2017,53,,,,,,,PASS
YS-N24/53-5300087/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5300088/2017,23,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5300089/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5300090/2017,25,,45.0,29.0,,,,,,,,,,,,,,,,B+,N24,,53,WB1002098092,05/04/2018,,,saheli,,PASS
YS-N24/53-5300091/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5300092/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5300093/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5300094/2017,25,,48.0,29.0,,,,,,,,,,,,,,,,B+,N24,,53,WB1002098076,21/05/2018,,,saheli,,PASS
YS-N24/53-5300095/2017,25,,57.0,26.0,,,,,,,,,,,,,,,,A,N24,,53,WB1002098680,27/03/2018,,,PROMITA,,PASS
YS-N24/53-5300096/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5300097/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5100440/2017,35,,,,,,,53.0,25.0,,,,,,,,,,,B+,N24,YS-N24/51-5100440/2017,53,WB1002116798,05/05/2018,,,,,PASS
YS-N24/53-5300098/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5300099/2017,27,,55.0,28.0,,,,,,,,,,,,,,,,A,N24,,53,WB1002093068,06/04/2018,,,PROMITA,,PASS
YS-N24/53-5100690/2017,35,,,,,,,46.0,23.0,,,,,,,,,,,B,N24,YS-N24/51-5100690/2017,53,WB1002116142,,,,,,PASS
YS-N24/53-5300100/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5100040/2017,35,,,,,,,70.0,29.0,,,,,,,,,,,A+,N24,YS-N24/51-5100040/2017,53,WB1002140936,21/03/2018,,,,,PASS
YS-N24/53-4700062/2017,42,,,,,,,,,,,,53.0,30.0,,,,,,A,N24,YS-N24/51-4700062/2017,53,WB1002090186,,,,,,PASS
YS-N24/53-5300101/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5300102/2017,25,,54.0,26.0,,,,,,,,,,,,,,,,B+,N24,,53,WB1002098764,29/06/2018,,,saheli,,PASS
YS-N24/53-5300103/2017,23,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,saheli,,PASS
YS-N24/53-5100638/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100638/2017,53,,,,,,,PASS
YS-N24/53-5300104/2017,27,,53.0,27.0,,,,,,,,,,,,,,,,A,N24,,53,WB1002093050,05/04/2018,,,PROMITA,,PASS
YS-N24/53-5300105/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5100065/2017,32,,,,,,,63.0,25.0,,,,,,,,,,,A,N24,YS-N24/51-5100065/2017,53,WB1002122180,11/04/2018,,,,,PASS
YS-N24/53-5100207/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100207/2017,53,,,,,,,PASS
YS-N24/53-5300106/2017,22,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5300107/2017,25,,49.0,23.0,,,,,,,,,,,,,,,,B+,N24,,53,WB1002097900,07/04/2018,,,saheli,,PASS
YS-N24/53-5300108/2017,25,,61.0,28.0,,,,,,,,,,,,,,,,A,N24,,53,WB1002098700,17/12/2018,,,saheli,,PASS
YS-N24/53-5300109/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5300110/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5300111/2017,25,,50.0,29.0,,,,,,,,,,,,,,,,B+,N24,,53,WB1002098766,31/03/2018,,,PROMITA,,PASS
YS-N24/53-5300112/2017,23,,45.0,28.0,,,,,,,,,,,,,,,,B+,N24,,53,WB1002097234,05/06/2018,,,PROMITA,,PASS
YS-N24/53-5300113/2017,51,,66.0,29.0,,,,,,,,,,,,,,,,A+,N24,,53,WB1002090240,05/10/2018,,,PROMITA,,PASS
YS-N24/53-5300114/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,saheli,,PASS
YS-N24/53-5300115/2017,42,,,,,,,,,,,,55.0,26.0,,,,,,A,N24,YS-BTM/30-2800090/2017,53,WB1002122352,19/04/2018,,,,,PASS
YS-N24/53-5300116/2017,42,,,,,,,,,,,,57.0,25.0,,,,,,A,N24,YS-BTM/30-280014/2017,53,WB1002122294,19/04/2018,,,,,PASS
YS-N24/53-5300117/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-3900240/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/39-3900240/2014,53,,,,,,,PASS
YS-N24/53-5300118/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5300119/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5300120/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-4900021/2017,45,,,,,,,,,,,,56.0,26.0,,,,,,A,N24,YS-N24/51-4900021/2017,53,WB1002092746,16/04/2018,,,,,PASS
YS-N24/53-5300121/2017,23,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,saheli,,PASS
YS-N24/53-5300122/2017,23,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5300123/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5300124/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5300125/2017,51,,60.0,29.0,,,,,,,,,,,,,,,,A,N24,,53,WB1002090214,13/07/2018,,,PROMITA,,PASS
YS-N24/53-5300126/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5300127/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5300128/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5300129/2017,27,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-4900020/2017,45,,,,,,,,,,,,61.0,28.0,,,,,,A,N24,YS-N24/51-4900020/2017,53,WB1002092866,16/04/2018,,,,,PASS
YS-N24/53-5300130/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5300131/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5300132/2017,22,,,,,,,,,,,,,,,,,,,,N24,YS-N24/50-5000010/2016,53,,,,,,,PASS
YS-N24/53-5300133/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5300134/2017,25,,49.0,28.0,,,,,,,,,,,,,,,,B+,N24,,53,WB1002097542,18/04/2018,,,PROMITA,,PASS
YS-N24/53-4500239/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/45-4500239/2015,53,,,,,,,PASS
YS-N24/53-5300135/2017,35,,,,,,,,,,,,,,,,,,,,N24,MIRHATI YCTC,53,,,,,,,PASS
YS-N24/53-5300136/2017,25,,43.0,22.0,,,,,,,,,,,,,,,,B,N24,,53,WB1002097568,,,,PROMITA,,PASS
YS-N24/53-5300137/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5300138/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5300139/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,saheli,,PASS
YS-N24/53-5300140/2017,22,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5300141/2017,35,,,,,,,54.0,23.0,,,,,,,,,,,B+,N24,YS-N24/50-5000067/2016,53,WB1002116178,11/06/2018,,,,,PASS
YS-N24/53-5300142/2017,23,,40.0,25.0,,,,,,,,,,,,,,,,B,N24,YS-N24/50-5000056/2016,53,WB1002097342,25/08/2018,,,,,PASS
YS-N24/53-5300143/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5300144/2017,25,,47.0,24.0,,,,,,,,,,,,,,,,B+,N24,,53,WB1002097502,30/07/2018,,,PROMITA,,PASS
YS-N24/53-5300145/2017,22,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5300146/2017,22,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5300147/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5300148/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5300149/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5300150/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,saheli,,PASS
YS-N24/53-5300151/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,saheli,,PASS
YS-N24/53-5300152/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,saheli,,PASS
YS-N24/53-5300153/2017,22,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5300154/2017,22,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5300155/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,saheli,,PASS
YS-N24/53-5300156/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,saheli,,PASS
YS-N24/53-5300157/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5300158/2017,25,,39.0,22.0,,,,,,,,,,,,,,,,B,N24,,53,WB1002097572,16/04/2018,,,PROMITA,,PASS
YS-N24/53-5300159/2017,23,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5300160/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,saheli,,PASS
YS-N24/53-5300161/2017,23,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5300162/2017,23,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5300163/2017,25,,60.0,25.0,,,,,,,,,,,,,,,,A,N24,,53,WB1002097528,03/05/2018,,,PROMITA,,PASS
YS-N24/53-5300164/2017,23,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5300165/2017,23,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5300166/2017,23,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5300167/2017,23,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,saheli,,PASS
YS-N24/53-5300168/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5300169/2017,51,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5300170/2017,23,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5300171/2017,25,,46.0,29.0,,,,,,,,,,,,,,,,B+,N24,,53,WB1002097476,16/05/2018,,,PROMITA,,PASS
YS-N24/53-5300172/2017,25,,34.0,27.0,,,,,,,,,,,,,,,,B,N24,,53,WB1002097452,19/05/2018,,,PROMITA,,PASS
YS-N24/53-5300173/2017,25,,49.0,22.0,,,,,,,,,,,,,,,,B+,N24,,53,WB1002097552,03/05/2018,,,PROMITA,,PASS
YS-N24/53-5300174/2017,23,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5300175/2017,23,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5300176/2017,23,,39.0,24.0,,,,,,,,,,,,,,,,B,N24,YS-N24/50-5000002/2016,53,WB1002097276,11/07/2019,,,,,PASS
YS-N24/53-5300177/2017,45,,,,,,,,,,,,61.0,29.0,,,,,,A+,N24,1001212890,53,WB1002092686,11/05/2018,,,,,PASS
YS-N24/53-2400454/2017,35,,,,,,,56.0,26.0,,,,,,,,,,,A,N24,YS-N24/24-2400454/2010,53,WB1002102766,13/04/2018,,,,,PASS
YS-N24/53-5300178/2017,51,,59.0,30.0,,,,,,,,,,,,,,,,A,N24,,53,WB1002090252,09/04/2018,,,PROMITA,,PASS
YS-N24/53-5300179/2017,22,,,,,,,,,,,,,,,,,,,,N24,YS-N24/23-2300637/2009,53,,,,,,,PASS
YS-N24/53-5300180/2017,23,,0.0,0.0,,,,,,,,,,,,,,,,,N24,YS-N24/29-2900159/2011,53,,,,,,,ABSENT
